Malta,Pierre Mejlak
Malta,Simon Bartolo
Marshall Islands,Ed Daniel Kelin,Marshall Islands Legends and Stories,
Marshall Islands,Marshallese school students (the Unbound Bookmaker Project),The Important Book about Majuro
Marshall Islands,Jack Niedenthal,For the Good of Mankind
Marshall Islands,Bob Barclay,In Melal: A Novel of the Pacific
Marshall Islands,Dirk R Spennemann,Bwebwenatoon etto: a collection of Marshallese legends and traditions
Mauritania,Mohamed Bouya Bamba,Angels of Mauritania and the Curse of the Language
Mauritius,Anand Mulloo,Watch Them Go Down
Mauritius,Barlen Pyamootoo,Benares
Mexico,Juan Pablo Villalobos,Down the Rabbit Hole
Mexico,Octavio Paz,The Labyrinth of Solitude (trans. Lysander Kemp)
Mexico,Laura Esquivel,Like Water for Chocolate (trans. Carol Christensen and Thomas Christensen)
Mexico,Martín Solares,The Black Minutes
Mexico,Carlos Fuentes
Mexico,Jorge Volpi
Mexico,Rosario Castellanos
Mexico,Carmen Boullosa
Mexico,Sandra Cisneros
Mexico,Mario Bellatín
Mexcio,Elena Garro
Mexico,Juan Rulfo
Mexico,Elena Poniatowska
Mexico,Sergio Pitol
Mexico,Juan Rulfo,Pedro Paramo
Micronesia, Federated States of Luelen Bernart The Book of Luelen
Moldova Ion Drutse Moldavian Autumn; The Story of an Ant
